year,Country,AverageTemperature,AverageTemperatureUncertainty,alpha3
1850,Afghanistan,13.326083333333335,1.9619166666666665,AFG
1850,Africa,23.4659311827957,1.075933870967742,
1850,Albania,11.734666666666667,1.4276666666666664,ALB
1850,Algeria,22.587333333333333,1.7075833333333332,DZA
1850,Andorra,10.65175,1.3860833333333333,AND
1850,Anguilla,26.106333333333335,1.1308333333333334,AIA
1850,Antigua And Barbuda,25.93325,1.1220833333333333,ATG
1850,Armenia,7.793166666666667,1.7021666666666668,ARM
1850,Aruba,27.438166666666664,1.1971666666666667,ABW
1850,Asia,6.586750000000001,0.96525,
1850,Austria,5.536666666666666,1.4656666666666667,AUT
1850,Azerbaijan,10.449166666666667,1.5160833333333334,AZE
1850,Bahamas,25.127,1.7213333333333332,BHS
1850,Bahrain,25.025166666666667,1.829,BHR
1850,Baker Island,24.73025,1.115,BKI
1850,Bangladesh,24.55316666666667,2.0253333333333337,BGD
1850,Barbados,25.995083333333337,1.1090833333333334,BRB
1850,Belarus,5.374083333333334,1.6435833333333332,BLR
1850,Belgium,8.778083333333333,1.32775,BEL
1850,Belize,25.026583333333335,1.5829166666666667,BLZ
1850,Benin,26.48266666666667,1.3299166666666666,BEN
1850,Bhutan,11.580711458333333,2.0880609375,BTN
1850,"Bonaire, Saint Eustatius And Saba",26.688666666666666,1.1451666666666667,BES
1850,Bosnia And Herzegovina,9.625416666666668,1.3954166666666667,BIH
1850,Brazil,24.140163087934564,1.0972315950920246,BRA
1850,British Virgin Islands,25.855666666666668,1.1784999999999999,VGB
1850,Bulgaria,9.7965,1.4885833333333334,BGR
1850,Burkina Faso,27.491,1.5176666666666667,BFA
1850,Burma,23.367060041407868,1.5979508281573498,MMR
1850,Burundi,19.397399647887323,1.1015739436619718,BDI
1850,Cambodia,26.131083333333333,1.4191666666666667,KHM
1850,Canada,-5.53625,2.2611666666666665,CAN
1850,Cape Verde,23.560833333333335,1.3178333333333334,CPV
1850,Cayman Islands,26.761499999999998,1.5665000000000002,CYM
1850,China,5.907166666666666,1.3328333333333333,CHN
1850,Christmas Island,25.158083333333334,1.11775,CXR
1850,Colombia,24.140500000000003,1.097,COL
1850,Comoros,25.030817028985506,1.047044082125604,COM
1850,Democratic Republic of the Congo,23.09719696969697,1.0033344988344988,COD
1850,Croatia,10.555666666666665,1.3954166666666667,HRV
1850,Cuba,25.43466666666667,1.632,CUB
1850,Curaçao,26.86791666666667,1.174,CUW
1850,Cyprus,17.944583333333334,1.5775,CYP
1850,Czech Republic,7.057666666666667,1.4674166666666668,CZE
1850,Côte D'Ivoire,25.353583333333333,1.3363333333333334,CIV
1850,Denmark,-18.645,2.922916666666667,DNK
1850,Dominica,25.619083333333332,1.1034166666666667,DMA
1850,Dominican Republic,25.25016666666667,1.3154166666666667,DOM
1850,Egypt,21.808666666666667,1.8986666666666665,EGY
1850,El Salvador,24.70991666666667,1.4071666666666667,SLV
1850,Estonia,4.15175,1.5501666666666667,EST
1850,Ethiopia,22.317927458033576,1.0957434052757795,ETH
1850,Europe,7.308750000000001,1.3574166666666667,
1850,Faroe Islands,6.4045,1.4275,FRO
1850,Finland,0.5066666666666665,1.6042500000000002,FIN
1850,France,12.2175,1.4389166666666666,FRA
1850,French Guiana,25.334000000000003,1.19875,GUF
1850,Gambia,27.001083333333337,1.4634166666666666,GMB
1850,Georgia,7.489250000000001,1.5767499999999999,GEO
1850,Germany,7.41575,1.3464166666666666,DEU
1850,Ghana,26.048666666666666,1.2558333333333334,GHA
1850,Greece,13.874666666666664,1.46825,GRC
1850,Greenland,-19.177666666666667,3.0089166666666665,GRL
1850,Grenada,26.29341666666667,1.123,GRD
1850,Guadeloupe,25.82766666666667,1.1148333333333333,GLP
1850,Guatemala,23.010916666666663,1.4886666666666668,GTM
1850,Guernsey,10.612,1.4276666666666669,GGY
1850,Guinea,24.918000000000003,1.5010833333333335,GIN
1850,Guinea Bissau,26.224833333333333,1.50125,GNB
1850,Guyana,25.531916666666664,1.192,GUY
1850,Haiti,26.062083333333334,1.3615833333333331,HTI
1850,Honduras,24.557166666666664,1.4228333333333332,HND
1850,Hong Kong,22.25725,1.89,HKG
1850,Hungary,9.192666666666666,1.4964166666666667,HUN
1850,Iceland,1.0523333333333336,2.111083333333333,ISL
1850,India,23.504583333333333,1.5272499999999998,IND
1850,Indonesia,25.03825,1.07875,IDN
1850,Iran,16.77825,1.7865833333333334,IRN
1850,Iraq,20.919,1.9415833333333332,IRQ
1850,Ireland,9.361500000000001,1.4263333333333332,IRL
1850,Isle Of Man,9.174583333333333,1.3755,IMN
1850,Israel,18.793499999999998,1.7575,ISR
1850,Italy,11.792333333333334,1.34575,ITA
1850,Jamaica,25.982416666666666,1.4274166666666668,JAM
1850,Japan,11.116,1.6946666666666665,JPN
1850,Jersey,10.612,1.4276666666666669,JEY
1850,Jordan,18.508166666666668,1.8614166666666667,JOR
1850,Kazakhstan,4.478000000000001,2.1484166666666664,KAZ
1850,Kenya,23.42049460431655,1.0901720623501199,KEN
1850,Kuwait,24.1925,1.9871666666666667,KWT
1850,Kyrgyzstan,2.5217500000000004,2.1510000000000002,KGZ
1850,Laos,23.1465,1.6991666666666667,LAO
1850,Latvia,4.773083333333333,1.58925,LVA
1850,Lebanon,16.835583333333332,1.7501666666666666,LBN
1850,Liberia,24.819166666666664,1.4225,LBR
1850,Libya,21.538750000000004,1.9000833333333336,LBY
1850,Liechtenstein,3.8375833333333333,1.5565,LIE
1850,Lithuania,5.431583333333332,1.5469166666666665,LTU
1850,Luxembourg,8.425083333333333,1.3175000000000001,LUX
1850,Macau,22.008,1.9423333333333332,MAC
1850,Macedonia,9.550916666666668,1.49225,MKD
1850,Madagascar,22.072158212560385,1.0378882850241546,MDG
1850,Malawi,20.73178804347826,1.1698472222222223,MWI
1850,Malaysia,25.236083333333337,1.12425,MYS
1850,Mali,27.957166666666666,1.5943333333333334,MLI
1850,Malta,17.665499999999998,1.4423333333333332,MLT
1850,Martinique,25.619083333333332,1.1034166666666667,MTQ
1850,Mauritania,27.266833333333334,1.7045833333333336,MRT
1850,Mauritius,23.539843091942316,0.6210022245799937,MUS
1850,Mayotte,25.66202777777778,1.0315253623188407,MYT
1850,Mexico,20.3065,1.5721666666666667,MEX
1850,Moldova,8.694833333333333,1.49175,MDA
1850,Monaco,8.124416666666667,1.4419166666666667,MCO
1850,Mongolia,-1.914,2.0189166666666667,MNG
1850,Montenegro,9.388833333333332,1.4209166666666666,MNE
1850,Montserrat,25.878333333333334,1.12225,MSR
1850,Morocco,17.57925,1.7104166666666665,MAR
1850,Mozambique,22.907911270983217,1.1858273381294964,MOZ
1850,Nepal,14.5035,1.9820833333333334,NPL
1850,Netherlands,8.824166666666665,1.3716666666666668,NLD
1850,Nicaragua,25.710250000000002,1.30925,NIC
1850,Niger,27.45654693682452,0.859030063798771,NER
1850,North America,1.7082500000000003,1.3945833333333333,
1850,North Korea,5.616583333333334,1.7470833333333333,PRK
1850,Norway,-0.5644166666666665,1.7154999999999998,NOR
1850,Oman,26.06916666666667,1.36,OMN
1850,Pakistan,19.985916666666668,1.5748333333333333,PAK
1850,Palestina,23.13341115237249,0.6205715099548159,PSE
